"index","Date","Open","High","Low","Close"
"317",2002-04-11,1103.69,1130.47,1102.56,1103.69
"318",2002-04-12,1111.01,1112.78,1102.82,1111.01
"319",2002-04-15,1102.55,1114.81,1099.52,1102.55
"320",2002-04-16,1128.37,1129.34,1102.55,1128.37
"321",2002-04-17,1126.07,1132.94,1123.37,1126.07
"322",2002-04-18,1124.47,1130.53,1109.47,1124.47
"323",2002-04-19,1125.17,1128.82,1122.72,1125.17
"324",2002-04-22,1107.83,1125.17,1105.75,1107.83
"325",2002-04-23,1100.96,1111.12,1099.09,1100.96
"326",2002-04-24,1093.14,1108.45,1092.55,1093.14
"327",2002-04-25,1091.48,1094.2,1084.88,1091.48
"328",2002-04-26,1076.32,1096.63,1076.32,1076.32
"329",2002-04-29,1065.45,1078.96,1063.6,1065.45
"330",2002-04-30,1076.92,1082.54,1063.56,1076.92
"331",2002-05-01,1086.46,1088.15,1065.37,1086.46
"332",2002-05-02,1084.56,1091.2,1079.53,1084.56
"333",2002-05-03,1073.43,1084.56,1068.92,1073.43
"334",2002-05-06,1052.67,1075.94,1052.65,1052.67
"335",2002-05-07,1049.49,1058.61,1049.06,1049.49
"336",2002-05-08,1088.85,1088.85,1049.49,1088.85
"337",2002-05-09,1073.01,1088.85,1072.29,1073.01
"338",2002-05-10,1054.99,1075.42,1054.05,1054.99
"339",2002-05-13,1074.56,1074.85,1053.98,1074.56
"340",2002-05-14,1097.28,1097.73,1074.56,1097.28
"341",2002-05-15,1091.07,1104.23,1089.02,1091.07
"342",2002-05-16,1098.23,1099.17,1089.26,1098.23
"343",2002-05-17,1106.59,1106.59,1096.77,1106.59
"344",2002-05-20,1091.88,1106.59,1090.56,1091.88
"345",2002-05-21,1079.88,1099.38,1079.11,1079.88
"346",2002-05-22,1086.02,1086.02,1075.6,1086.02
"347",2002-05-23,1097.08,1097.1,1080.67,1097.08
"348",2002-05-24,1083.82,1097.08,1082.2,1083.82
"349",2002-05-28,1074.55,1085.83,1070.35,1074.55
"350",2002-05-29,1067.66,1074.78,1067.66,1067.66
"351",2002-05-30,1064.66,1069.36,1054.49,1064.66
"352",2002-05-31,1067.14,1079.83,1064.66,1067.14
"353",2002-06-03,1040.68,1070.66,1039.91,1040.68
"354",2002-06-04,1040.69,1046.01,1030.64,1040.69
"355",2002-06-05,1049.9,1050.05,1038.92,1049.9
"356",2002-06-06,1029.15,1049.9,1026.91,1029.15
"357",2002-06-07,1027.53,1033.02,1012.45,1027.53
"358",2002-06-10,1030.74,1038.08,1025.57,1030.74
"359",2002-06-11,1013.6,1038.95,1013.01,1013.6
"360",2002-06-12,1020.26,1021.86,1002.61,1020.26
"361",2002-06-13,1009.56,1023.37,1008.09,1009.56
"362",2002-06-14,1007.27,1009.56,981.72,1007.27
"363",2002-06-17,1036.17,1036.17,1007.27,1036.17
"364",2002-06-18,1037.14,1040.78,1031.04,1037.14
"365",2002-06-19,1019.99,1037.51,1017.93,1019.99
"366",2002-06-20,1006.29,1023.18,1004.69,1006.29
"367",2002-06-21,989.14,1006.29,985.66,989.14
"368",2002-06-24,992.72,1001.95,970.9,992.72
"369",2002-06-25,976.14,1005.9,974.09,976.14
"370",2002-06-26,973.53,977.29,953.08,973.53
